"Recording_ID","Genus","Specific_epithet","Subspecies","English_name","Recordist","Country","Locality","Latitude","Longitude","Vocalization_type","Audio_file","License","Url","Quality","Time","Date"
"154161","Phaethornis","longirostris","","Long-billed Hermit","Marcelo Araya-Salas","Costa Rica","La Selva Biological Station, Sarapiqui, Heredia","10.430488","-84.00628","song","//www.xeno-canto.org/154161/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/154161","A","9:19","2010-07-13"
"154138","Phaethornis","longirostris","","Long-billed Hermit","Marcelo Araya-Salas","Costa Rica","La Selva Biological Station, Sarapiqui, Heredia","10.430488","-84.00628","song","//www.xeno-canto.org/154138/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/154138","A","14:18","2010-05-21"
"154129","Phaethornis","longirostris","","Long-billed Hermit","Marcelo Araya-Salas","Costa Rica","La Selva Biological Station, Sarapiqui, Heredia","10.430488","-84.00628","song","//www.xeno-canto.org/154129/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/154129","A","10:09","2010-05-21"
"154123","Phaethornis","longirostris","","Long-billed Hermit","Marcelo Araya-Salas","Costa Rica","La Selva Biological Station, Sarapiqui, Heredia","10.430488","-84.00628","song","//www.xeno-canto.org/154123/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/154123","A","6:49","2010-05-21"
"154072","Phaethornis","longirostris","","Long-billed Hermit","Marcelo Araya-Salas","Costa Rica","La Selva Biological Station, Sarapiqui, Heredia","10.430488","-84.00628","song","//www.xeno-canto.org/154072/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/154072","A","7:05","2010-05-28"
"154070","Phaethornis","longirostris","","Long-billed Hermit","Marcelo Araya-Salas","Costa Rica","La Selva Biological Station, Sarapiqui, Heredia","10.430488","-84.00628","song","//www.xeno-canto.org/154070/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/154070","A","9:22","2010-05-27"
