"sound.files","selec","start","end","SNR"
"Oporornis-agilis-103539.wav",1,2.26176959790841,2.36131612235918,42.7278487380823
"Oporornis-agilis-103539.wav",2,2.79015982860361,2.89709864621405,41.1937337430633
"Oporornis-agilis-103539.wav",3,3.30752964679696,3.41038683014747,41.1535492609683
"Oporornis-agilis-103539.wav",4,9.74267957251107,9.83487915529395,35.9607076806958
